"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"previous-main","vulkan","primitive_type.points.vertex_shader","PASS","10","10","1282","641.5","610","7030","12825","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.polygon.fixed_function","PASS","10","10","922","637.5","605","3544","9225","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.polygon.vertex_shader","PASS","10","10","681","635","613","1128","6810","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.quad_strip.fixed_function","PASS","10","10","1922","1217.5","1187","8234","19228","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.quad_strip.vertex_shader","PASS","10","10","1403","1235.5","1185","2924","14033","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.quads.fixed_function","PASS","10","10","2427","2359","2327","3067","24270","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.quads.vertex_shader","PASS","10","10","2395","2353","2322","2720","23957","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.triangle_fan.fixed_function","PASS","10","10","888","636","579","3158","8884","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.triangle_fan.vertex_shader","PASS","10","10","667","633","618","940","6679","Context only: live-marker waiver; no PR-grade performance claim"
"previous-main","vulkan","primitive_type.triangle_strip.fixed_function","PASS","10","10","668","633","606","1003","6680","Context only: live-marker waiver; no PR-grade performance claim"
