"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","opengl","primitive_type.points.fixed_function","PASS","10","10","682","648","539","1080","6820","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.points.vertex_shader","PASS","10","10","698","689.5","551","968","6984","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.polygon.fixed_function","PASS","10","10","811","718.5","688","1173","8113","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.polygon.vertex_shader","PASS","10","10","801","728","678","1154","8019","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.quad_strip.fixed_function","PASS","10","10","1434","1385","1369","1785","14349","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.quad_strip.vertex_shader","PASS","10","10","1303","1306","1170","1375","13033","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.quads.fixed_function","PASS","10","10","2394","2476","2103","2668","23940","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.quads.vertex_shader","PASS","10","10","2507","2518.5","2131","3087","25074","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangle_fan.fixed_function","PASS","10","10","781","704.5","661","1115","7810","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangle_fan.vertex_shader","PASS","10","10","780","717","646","1131","7806","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangle_strip.fixed_function","PASS","10","10","677","694.5","565","748","6773","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangle_strip.vertex_shader","PASS","10","10","715","680.5","539","1194","7150","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangles.fixed_function","PASS","10","10","1970","1949.5","1771","2321","19707","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","primitive_type.triangles.vertex_shader","PASS","10","10","1905","1935","1608","2025","19059","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.clear_boundary","PASS","4","4","1072","1152.5","459","1527","4291","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.dma_descriptor_rewrite","PASS","1","1","2022","2022","2022","2022","2022","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.dma_range_guard","FAIL","1","1","10024941","10024941","10024941","10024941","10024941","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.dma_target_switch","PASS","4","4","1482","1327","1165","2112","5931","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.fifo_producer_ordering","PASS","4","4","1346","1313","972","1789","5387","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.multiple_boundaries","PASS","4","4","449","444","268","642","1798","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.single_boundary","PASS","4","4","608","646.5","298","841","2432","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","report_query.zero_query","PASS","4","4","178","54","22","583","713","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.basic","PASS","10","10","15262","15096.5","14706","16588","152621","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.cpu_read_after_gpu_write","PASS","20","20","496","515.5","323","1199","9930","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.cpu_read_clean_surface","PASS","100","100","120","61","60","429","12052","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.framebuffer_working_set_002","PASS","20","20","1424","1569","988","2141","28483","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.framebuffer_working_set_008","PASS","20","20","1461","1584","1014","1988","29232","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.framebuffer_working_set_032","PASS","20","20","1579","1585","1128","2153","31598","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.framebuffer_working_set_064","PASS","20","20","1625","1589.5","1475","1918","32503","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.full_clear_elision_guard","PASS","100","100","1419","1325.5","796","5622","141982","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.overlapping_surface_churn_representative","PASS","100","100","2175","2016","1485","3309","217540","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.overlapping_surface_churn_stress","PASS","10","10","26877","26362.5","25391","30827","268777","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.partial_channel_clear_guard","PASS","100","100","1369","1324.5","630","2153","136931","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.surface_download_path","PASS","10","10","12775","13197","11201","13797","127752","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.surface_list_lookup_002","PASS","20","20","1428","1557","995","2093","28563","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.surface_list_lookup_008","PASS","20","20","1548","1575","978","2094","30963","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.surface_list_lookup_032","PASS","20","20","1596","1671","996","2255","31924","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.surface_list_lookup_128","PASS","20","20","1698","1673","1464","2128","33979","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.vulkan_memory_pressure.representative.growth","PASS","4","4","13448","12501","12184","16608","53794","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.vulkan_memory_pressure.representative.plateau","PASS","4","4","12666","12596.5","12075","13397","50665","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.vulkan_memory_pressure.representative.alias_resize","PASS","4","4","14507","13632.5","13297","17466","58028","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.vulkan_memory_pressure.representative.reuse","PASS","4","4","13925","13456.5","11871","16917","55701","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","opengl","surface.vulkan_memory_pressure.representative.idle_retention","PASS","4","4","863","802","616","1233","3453","Context only: live-marker waiver; no PR-grade performance claim"
