"Build","Renderer","ID","Outcome","Iterations","Samples","Average_us","Median_us","Minimum_us","Maximum_us","Total_us","Timing_use"
"candidate","vulkan","tiny_draw.arrays.vertex_shader","PASS","10","10","23432","23526.5","22812","23901","234322","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_arrays.fixed_function","PASS","10","10","33913","34496","29529","36384","339139","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_arrays.vertex_shader","PASS","10","10","34680","34648.5","32973","36591","346808","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_buffers.fixed_function","PASS","10","10","40523","39966.5","37328","45218","405236","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_buffers.vertex_shader","PASS","10","10","41748","41214","37926","45742","417480","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_elements.fixed_function","PASS","10","10","22897","22797","22423","23532","228978","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","tiny_draw.inline_elements.vertex_shader","PASS","10","10","22878","22909","21837","23915","228784","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","uniform_thrash.uniform_thrash","PASS","10","10","2459","1755","1668","8722","24592","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.mixed.arrays","PASS","10","10","23515","23254.5","23036","25299","235159","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.mixed.inline_arrays","PASS","10","10","143732","143566","140531","145999","1437329","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.mixed.inline_buffers","PASS","10","10","639836","639308","633368","647153","6398368","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.mixed.inline_elements","PASS","10","10","35628","35442.5","35215","36551","356284","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.tiny.arrays","PASS","10","10","86401","87706","64319","97013","864017","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.tiny.inline_arrays","PASS","10","10","50540","52033.5","38500","68116","505400","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.tiny.inline_buffers","PASS","10","10","42239","40158.5","38062","48280","422396","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.tiny.inline_elements","PASS","10","10","58453","53747","41328","76610","584534","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.rising_transient_growth","PASS","1","1","675985","675985","675985","675985","675985","Context only: live-marker waiver; no PR-grade performance claim"
"candidate","vulkan","vertex_buffer_allocation.disjoint_same_page","PASS","10","10","40090","40498","34629","42138","400900","Context only: live-marker waiver; no PR-grade performance claim"
