target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.334249600,41.334758200,41.334761800,41.334775500,508.600,3.600,0.013700,1,9,idle,0
6568,5992,41.334775500,41.339779500,41.339782700,41.339792600,"5,004.000",3.200,0.009900,1,9,same_process,12564
6568,5992,41.339792600,41.344579400,41.344584400,41.344723900,"4,786.800",5.000,0.139500,1,0,same_process,4612
6568,5992,41.344723900,41.345131200,41.345137000,41.345332600,407.300,5.800,0.195600,1,6,idle,0
6568,5992,41.345332600,41.348136200,41.348143000,41.348302700,"2,803.600",6.800,0.159700,1,12,same_process,12564
6568,5992,41.348302700,41.348606100,41.348610500,41.349026100,303.400,4.400,0.415600,1,9,same_process,12564
6568,5992,41.349026100,41.349135500,41.349139900,41.349906200,109.400,4.400,0.766300,1,14,same_process,12564
6568,5992,41.349906200,41.349980900,41.349984800,41.350263200,74.700,3.900,0.278400,1,9,same_process,12564
6568,5992,41.350263200,41.350344100,41.350347900,41.350559500,80.900,3.800,0.211600,1,9,same_process,12564
6568,5992,41.350559500,41.350862400,41.350866000,41.351115400,302.900,3.600,0.249400,1,9,same_process,12564
6568,5992,41.351115400,41.351118500,41.351121900,41.351310800,3.100,3.400,0.188900,1,9,same_process,12564
6568,5992,41.351310800,41.351433900,41.351437600,41.351639500,123.100,3.700,0.201900,1,9,same_process,12564
6568,5992,41.351639500,41.351783200,41.351786700,41.351962600,143.700,3.500,0.175900,1,9,same_process,12564
6568,5992,41.351962600,41.352226400,41.352230000,41.352449700,263.800,3.600,0.219700,1,9,same_process,12564
6568,5992,41.352449700,41.352703600,41.352706800,41.352966700,253.900,3.200,0.259900,1,9,same_process,12564
6568,5992,41.352966700,41.353093900,41.353097500,41.353252500,127.200,3.600,0.155000,1,9,same_process,12564
6568,5992,41.353252500,41.353760600,41.353764000,41.354062100,508.100,3.400,0.298100,1,9,same_process,12564
6568,5992,41.354062100,41.354182300,41.354185800,41.354372200,120.200,3.500,0.186400,1,9,same_process,12564
6568,5992,41.354372200,41.354648500,41.354652100,41.354892700,276.300,3.600,0.240600,1,9,same_process,12564
6568,5992,41.354892700,41.355024400,41.355027900,41.355249700,131.700,3.500,0.221800,1,9,same_process,12564
6568,5992,41.355249700,41.355569900,41.355573500,41.355833400,320.200,3.600,0.259900,1,9,same_process,12564
6568,5992,41.355833400,41.356010200,41.356013800,41.356197200,176.800,3.600,0.183400,1,9,same_process,12564
6568,5992,41.356197200,41.356576200,41.356580400,41.356794800,379.000,4.200,0.214400,1,9,same_process,12564
6568,5992,41.356794800,41.356968000,41.356971700,41.357199400,173.200,3.700,0.227700,1,9,same_process,12564
6568,5992,41.357199400,41.357376300,41.357379800,41.357580400,176.900,3.500,0.200600,1,9,same_process,12564
6568,5992,41.357580400,41.357759100,41.357762400,41.357936400,178.700,3.300,0.174000,1,9,same_process,12564
6568,5992,41.357936400,41.358151500,41.358155100,41.358356800,215.100,3.600,0.201700,1,9,same_process,12564
6568,5992,41.358356800,41.358536600,41.358540100,41.358731100,179.800,3.500,0.191000,1,9,same_process,12564
6568,5992,41.358731100,41.359212700,41.359216700,41.359521600,481.600,4.000,0.304900,1,9,same_process,12564
6568,5992,41.359521600,41.359772300,41.359775800,41.360087000,250.700,3.500,0.311200,1,9,same_process,12564
6568,5992,41.360087000,41.361152000,41.361156000,41.361433600,"1,065.000",4.000,0.277600,1,9,same_process,12564
