target_pid,target_tid,timestamp_s,weight_ms,count,leaf_class,leaf_module,xemu_rva
6568,5992,32.890638100,1.000000,1,xemu_image,xemu.exe,0x0011e66b
6568,5992,33.531562500,1.000000,1,external_module,vulkan-1.dll,
6568,5992,34.220490600,1.000000,1,external_module,msvcrt.dll,
6568,5992,35.136054800,1.000000,1,external_module,msvcrt.dll,
6568,5992,36.368090600,1.000000,1,xemu_image,xemu.exe,0x0028c9af
6568,5992,36.795219500,1.000000,1,external_module,vulkan-1.dll,
6568,5992,38.026277500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,38.090746900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,38.128002800,1.000000,1,xemu_image,xemu.exe,0x00277c9f
6568,5992,39.169266400,1.000000,1,external_module,msvcrt.dll,
6568,5992,39.171136200,1.000000,1,xemu_image,xemu.exe,0x002ab50b
6568,5992,41.398190500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,41.402702100,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,28.501772200,1.000000,1,xemu_image,xemu.exe,0x002adbc7
6568,5992,36.721343200,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,37.136968200,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.085130400,1.000000,1,xemu_image,xemu.exe,0x0029d580
6568,5992,23.354770500,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,23.358771900,1.000000,1,xemu_image,xemu.exe,0x002ab420
6568,5992,23.382063000,1.000000,1,external_module,msvcrt.dll,
6568,5992,23.447447600,1.000000,1,external_module,nvoglv64.dll,
6568,5992,23.760416100,1.000000,1,xemu_image,xemu.exe,0x00275482
6568,5992,24.261756800,1.000000,1,xemu_image,xemu.exe,0x006fd481
6568,5992,24.618258600,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,24.955847200,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,25.628169100,1.000000,1,xemu_image,xemu.exe,0x0011e66b
6568,5992,25.819605200,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,26.059614900,1.000000,1,external_module,msvcrt.dll,
6568,5992,26.486478700,1.000000,1,external_module,vulkan-1.dll,
6568,5992,27.317770400,1.000000,1,external_module,nvoglv64.dll,
6568,5992,28.394889500,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,28.502467400,1.000000,1,external_module,nvoglv64.dll,
6568,5992,28.576284800,1.000000,1,xemu_image,xemu.exe,0x001d4022
6568,5992,28.896120500,1.000000,1,xemu_image,xemu.exe,0x001dc69d
6568,5992,28.927845000,1.000000,1,external_module,msvcrt.dll,
6568,5992,29.568875000,1.000000,1,xemu_image,xemu.exe,0x002aa8f1
6568,5992,30.947262300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,31.120795500,1.000000,1,xemu_image,xemu.exe,0x00298573
6568,5992,31.146591200,1.000000,1,external_module,nvoglv64.dll,
6568,5992,31.226759300,1.000000,1,xemu_image,xemu.exe,0x0011e66b
6568,5992,31.607117000,1.000000,1,xemu_image,xemu.exe,0x003dc07a
6568,5992,31.609295800,1.000000,1,external_module,nvoglv64.dll,
6568,5992,32.175641900,1.000000,1,xemu_image,xemu.exe,0x001dc636
6568,5992,32.267966100,1.000000,1,external_module,msvcrt.dll,
6568,5992,32.448670000,1.000000,1,external_module,nvoglv64.dll,
6568,5992,32.885837900,1.000000,1,external_module,msvcrt.dll,
6568,5992,33.371461300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,33.648828700,1.000000,1,xemu_image,xemu.exe,0x001d4840
6568,5992,35.296667100,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,35.418005300,1.000000,1,external_module,msvcrt.dll,
6568,5992,35.427792400,1.000000,1,xemu_image,xemu.exe,0x002754c2
6568,5992,35.429621700,1.000000,1,external_module,ntdll.dll,
6568,5992,37.845507600,1.000000,1,external_module,msvcrt.dll,
6568,5992,37.899911400,1.000000,1,xemu_image,xemu.exe,0x00297b88
6568,5992,37.926394200,1.000000,1,external_module,nvoglv64.dll,
6568,5992,38.203100800,1.000000,1,xemu_image,xemu.exe,0x0011e647
6568,5992,39.193976200,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,39.195932300,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,39.343933700,1.000000,1,xemu_image,xemu.exe,0x0029e502
6568,5992,40.543589700,1.000000,1,external_module,msvcrt.dll,
6568,5992,41.077830100,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,41.141004500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,41.445453000,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,41.446638500,1.000000,1,xemu_image,xemu.exe,0x0011e671
6568,5992,22.272475700,1.000000,1,xemu_image,xemu.exe,0x0029695b
6568,5992,22.294275300,1.000000,1,xemu_image,xemu.exe,0x00275587
6568,5992,22.307817400,1.000000,1,external_module,nvoglv64.dll,
6568,5992,26.656497400,1.000000,1,xemu_image,xemu.exe,0x0011e644
6568,5992,37.477956500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,41.712736200,1.000000,1,xemu_image,xemu.exe,0x002ad9c4
6568,5992,21.877337200,1.000000,1,xemu_image,xemu.exe,0x006fd55f
6568,5992,22.762024600,1.000000,1,xemu_image,xemu.exe,0x0011e98b
6568,5992,25.152222800,1.000000,1,xemu_image,xemu.exe,0x00275529
6568,5992,25.766465000,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,26.266395900,1.000000,1,xemu_image,xemu.exe,0x002ab023
6568,5992,27.845661400,1.000000,1,xemu_image,xemu.exe,0x00275431
6568,5992,28.106473700,1.000000,1,xemu_image,xemu.exe,0x003dc060
6568,5992,28.107832800,1.000000,1,external_module,msvcrt.dll,
6568,5992,28.762325000,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,30.476377500,1.000000,1,xemu_image,xemu.exe,0x0028c9bc
6568,5992,31.787089100,1.000000,1,xemu_image,xemu.exe,0x002745da
6568,5992,32.212914900,1.000000,1,external_module,nvoglv64.dll,
6568,5992,32.235137300,1.000000,1,external_module,nvoglv64.dll,
6568,5992,33.468759200,1.000000,1,external_module,ntdll.dll,
6568,5992,34.879491600,1.000000,1,xemu_image,xemu.exe,0x0011e647
6568,5992,35.046023100,1.000000,1,xemu_image,xemu.exe,0x0028c742
6568,5992,35.060953200,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,35.519817500,1.000000,1,xemu_image,xemu.exe,0x002ab493
6568,5992,36.602707700,1.000000,1,xemu_image,xemu.exe,0x001d4508
6568,5992,37.978423900,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,38.372380900,1.000000,1,external_module,ntdll.dll,
6568,5992,41.345216600,1.000000,1,external_module,dxgkrnl.sys,
6568,5992,31.024347700,1.000000,1,external_module,nvoglv64.dll,
6568,5992,33.947102100,1.000000,1,external_module,msvcrt.dll,
6568,5992,36.464185100,1.000000,1,xemu_image,xemu.exe,0x001d7c11
6568,5992,22.624264000,1.000000,1,xemu_image,xemu.exe,0x010ba578
6568,5992,22.709887600,1.000000,1,xemu_image,xemu.exe,0x001dc6a0
6568,5992,22.795487400,1.000000,1,external_module,msvcrt.dll,
6568,5992,22.843779300,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,23.109752900,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,23.179068300,1.000000,1,xemu_image,xemu.exe,0x006fbeed
6568,5992,23.509192600,1.000000,1,xemu_image,xemu.exe,0x003e1ffc
6568,5992,23.889139200,1.000000,1,external_module,nvoglv64.dll,
6568,5992,25.396625100,1.000000,1,external_module,nvoglv64.dll,
6568,5992,27.691217100,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,27.968057000,1.000000,1,xemu_image,xemu.exe,0x0028bebd
