renderer,test_id,kind,baseline_outcome,main_outcome,pr85_outcome,parent_outcome,candidate_outcome,candidate_vs_baseline,pr85_vs_main,parent_vs_pr85,candidate_vs_parent,raw_direction,baseline_median_us,main_median_us,pr85_median_us,parent_median_us,candidate_median_us,improvement_parent_vs_pr85_pct,improvement_pr85_vs_main_pct,improvement_vs_baseline_pct,improvement_vs_parent_pct,baseline_hash,main_hash,pr85_hash,parent_hash,candidate_hash
vulkan,game_load.long_unlocked_scene.cpu,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,24164,24185,24231,24325,-0.19,-0.09,,-0.39,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.full_system,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,74508,74410,74671,75333,-0.35,+0.13,,-0.89,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.pfifo,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,4781,4915,4889,4916,+0.53,-2.80,,-0.55,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,11802,11654,11148,11710,+4.34,+1.25,,-5.04,,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325,4efd9244c4ad2325
vulkan,game_load.pgr2_ai_backup.cpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,42311,42729,45525,42854,-6.54,-0.99,,+5.87,,e086b0a920c42325,e086b0a920c42325,e086b0a920c42325,e086b0a920c42325
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,139135,141445,144147,145650,-1.91,-1.66,,-1.04,,48c0585f003ea325,48c0585f003ea325,48c0585f003ea325,48c0585f003ea325
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,143429,145360,148604,149883,-2.23,-1.35,,-0.86,,e0430415b6dbe325,e0430415b6dbe325,e0430415b6dbe325,e0430415b6dbe325
vulkan,game_load.pgr2_ai_backup.full_system,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,144647,147186,149534,151377,-1.60,-1.76,,-1.23,,cb91c33db5046325,cb91c33db5046325,cb91c33db5046325,cb91c33db5046325
vulkan,game_load.pgr2_ai_backup.gpu_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,82740,83423,86100,89031,-3.21,-0.83,,-3.40,,f8348ac6eeaaa325,f8348ac6eeaaa325,f8348ac6eeaaa325,f8348ac6eeaaa325
vulkan,game_load.pgr2_ai_backup.pfifo_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,15408,15477,15667,14349,-1.23,-0.45,,+8.41,,5bc1b07714da2325,5bc1b07714da2325,5bc1b07714da2325,5bc1b07714da2325
