renderer,test_id,kind,main_outcome,main_hash,main_median_us,pr85_outcome,pr85_hash,pr85_median_us,pr87_outcome,pr87_hash,pr87_median_us,pr89_outcome,pr89_hash,pr89_median_us,main_to_pr85_status,main_to_pr85_improvement_pct,pr85_to_pr87_status,pr85_to_pr87_improvement_pct,pr87_to_pr89_status,pr87_to_pr89_improvement_pct,main_to_pr89_status,main_to_pr89_improvement_pct
vulkan,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,4efd9244c4ad2325,11802,PASS,4efd9244c4ad2325,11880,PASS,4efd9244c4ad2325,11855,PASS,4efd9244c4ad2325,11960,OUTCOME_AND_HASH_MATCH,-0.66,OUTCOME_AND_HASH_MATCH,+0.21,OUTCOME_AND_HASH_MATCH,-0.89,OUTCOME_AND_HASH_MATCH,-1.34
vulkan,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,e086b0a920c42325,42311,PASS,e086b0a920c42325,41666,PASS,e086b0a920c42325,41807,PASS,e086b0a920c42325,41771,OUTCOME_AND_HASH_MATCH,+1.52,OUTCOME_AND_HASH_MATCH,-0.34,OUTCOME_AND_HASH_MATCH,+0.09,OUTCOME_AND_HASH_MATCH,+1.28
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,48c0585f003ea325,139135,PASS,48c0585f003ea325,140018,PASS,48c0585f003ea325,140014,PASS,48c0585f003ea325,143341,OUTCOME_AND_HASH_MATCH,-0.63,OUTCOME_AND_HASH_MATCH,+0.00,OUTCOME_AND_HASH_MATCH,-2.38,OUTCOME_AND_HASH_MATCH,-3.02
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,e0430415b6dbe325,143429,PASS,e0430415b6dbe325,144110,PASS,e0430415b6dbe325,143937,PASS,e0430415b6dbe325,146483,OUTCOME_AND_HASH_MATCH,-0.47,OUTCOME_AND_HASH_MATCH,+0.12,OUTCOME_AND_HASH_MATCH,-1.77,OUTCOME_AND_HASH_MATCH,-2.13
vulkan,game_load.pgr2_ai_backup.full_system,leaf,PASS,cb91c33db5046325,144647,PASS,cb91c33db5046325,145349,PASS,cb91c33db5046325,145634,PASS,cb91c33db5046325,147199,OUTCOME_AND_HASH_MATCH,-0.49,OUTCOME_AND_HASH_MATCH,-0.20,OUTCOME_AND_HASH_MATCH,-1.07,OUTCOME_AND_HASH_MATCH,-1.76
vulkan,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,f8348ac6eeaaa325,82740,PASS,f8348ac6eeaaa325,82040,PASS,f8348ac6eeaaa325,83812,PASS,f8348ac6eeaaa325,85404,OUTCOME_AND_HASH_MATCH,+0.85,OUTCOME_AND_HASH_MATCH,-2.16,OUTCOME_AND_HASH_MATCH,-1.90,OUTCOME_AND_HASH_MATCH,-3.22
vulkan,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,5bc1b07714da2325,15408,PASS,5bc1b07714da2325,15101,PASS,5bc1b07714da2325,15801,PASS,5bc1b07714da2325,15206,OUTCOME_AND_HASH_MATCH,+1.99,OUTCOME_AND_HASH_MATCH,-4.64,OUTCOME_AND_HASH_MATCH,+3.77,OUTCOME_AND_HASH_MATCH,+1.31
vulkan,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,f43007e31b972325,4064,PASS,f43007e31b972325,4442,PASS,f43007e31b972325,4142,PASS,f43007e31b972325,4226,OUTCOME_AND_HASH_MATCH,-9.30,OUTCOME_AND_HASH_MATCH,+6.75,OUTCOME_AND_HASH_MATCH,-2.03,OUTCOME_AND_HASH_MATCH,-3.99
vulkan,game_load.repeated_display,leaf,PASS,e758dbbf4edc2325,16629,PASS,e758dbbf4edc2325,16670,PASS,e758dbbf4edc2325,16635,PASS,e758dbbf4edc2325,16576,OUTCOME_AND_HASH_MATCH,-0.25,OUTCOME_AND_HASH_MATCH,+0.21,OUTCOME_AND_HASH_MATCH,+0.35,OUTCOME_AND_HASH_MATCH,+0.32
vulkan,game_load.repeated_display_boosted,leaf,PASS,60315b1c33b6a325,49922,PASS,60315b1c33b6a325,50045,PASS,60315b1c33b6a325,49909,PASS,60315b1c33b6a325,49717,OUTCOME_AND_HASH_MATCH,-0.25,OUTCOME_AND_HASH_MATCH,+0.27,OUTCOME_AND_HASH_MATCH,+0.38,OUTCOME_AND_HASH_MATCH,+0.41
vulkan,game_load.s3tc_sync_factor,group,PASS,db28300321744de5,,PASS,db28300321744de5,,PASS,db28300321744de5,,PASS,db28300321744de5,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,,OUTCOME_AND_HASH_MATCH,
vulkan,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,db28300321744de5,49858,PASS,db28300321744de5,50315,PASS,db28300321744de5,49853,PASS,db28300321744de5,49200,OUTCOME_AND_HASH_MATCH,-0.92,OUTCOME_AND_HASH_MATCH,+0.92,OUTCOME_AND_HASH_MATCH,+1.31,OUTCOME_AND_HASH_MATCH,+1.32
vulkan,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,3403675459d4d3d5,16584,PASS,3403675459d4d3d5,16572,PASS,3403675459d4d3d5,16449,PASS,3403675459d4d3d5,16658,OUTCOME_AND_HASH_MATCH,+0.07,OUTCOME_AND_HASH_MATCH,+0.74,OUTCOME_AND_HASH_MATCH,-1.27,OUTCOME_AND_HASH_MATCH,-0.45
vulkan,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,db28300321744de5,49883,PASS,db28300321744de5,50002,PASS,db28300321744de5,49984,PASS,db28300321744de5,50053,OUTCOME_AND_HASH_MATCH,-0.24,OUTCOME_AND_HASH_MATCH,+0.04,OUTCOME_AND_HASH_MATCH,-0.14,OUTCOME_AND_HASH_MATCH,-0.34
vulkan,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,3403675459d4d3d5,16615,PASS,3403675459d4d3d5,16679,PASS,3403675459d4d3d5,16879,PASS,3403675459d4d3d5,16609,OUTCOME_AND_HASH_MATCH,-0.39,OUTCOME_AND_HASH_MATCH,-1.20,OUTCOME_AND_HASH_MATCH,+1.60,OUTCOME_AND_HASH_MATCH,+0.04
vulkan,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,428c04bbb0a62725,16572,PASS,428c04bbb0a62725,16566,PASS,428c04bbb0a62725,16638,PASS,428c04bbb0a62725,16616,OUTCOME_AND_HASH_MATCH,+0.04,OUTCOME_AND_HASH_MATCH,-0.43,OUTCOME_AND_HASH_MATCH,+0.13,OUTCOME_AND_HASH_MATCH,-0.27
vulkan,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,3403675459d4d3d5,16500,PASS,3403675459d4d3d5,16657,PASS,3403675459d4d3d5,16635,PASS,3403675459d4d3d5,16631,OUTCOME_AND_HASH_MATCH,-0.95,OUTCOME_AND_HASH_MATCH,+0.13,OUTCOME_AND_HASH_MATCH,+0.02,OUTCOME_AND_HASH_MATCH,-0.79
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,a6f06fa8e5026141,16648,PASS,746502b6df10199d,16643,PASS,b7706f638d813ce5,16685,PASS,93cde821c1b3f827,16728,HASH_INELIGIBLE_OUTCOME_MATCH,+0.03,HASH_INELIGIBLE_OUTCOME_MATCH,-0.25,HASH_INELIGIBLE_OUTCOME_MATCH,-0.26,HASH_INELIGIBLE_OUTCOME_MATCH,-0.48
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,3403675459d4d3d5,16497,PASS,3403675459d4d3d5,16690,PASS,3403675459d4d3d5,16739,PASS,3403675459d4d3d5,16626,OUTCOME_AND_HASH_MATCH,-1.17,OUTCOME_AND_HASH_MATCH,-0.29,OUTCOME_AND_HASH_MATCH,+0.68,OUTCOME_AND_HASH_MATCH,-0.78
