test_id,kind,parent_outcome,candidate_outcome,parent_hash,candidate_hash,parent_median_us,candidate_median_us,status,improvement_pct
game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,49706,49817,OUTCOME_AND_HASH_MATCH,-0.22
game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,PASS,312f7dc3a17a60a3,da471c429c5b48c4,50329,49647,HASH_INELIGIBLE_OUTCOME_MATCH,+1.36
game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,PASS,3403675459d4d3d5,3403675459d4d3d5,49595,49493,OUTCOME_AND_HASH_MATCH,+0.21
high_vertex_count.arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,89,87,OUTCOME_AND_HASH_MATCH,+2.25
high_vertex_count.inline_arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,49758,50693,OUTCOME_AND_HASH_MATCH,-1.88
high_vertex_count.inline_buffers,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,216990,225281,OUTCOME_AND_HASH_MATCH,-3.82
high_vertex_count.inline_elements,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,4178,4189,OUTCOME_AND_HASH_MATCH,-0.26
pfifo_array_elements.array_element16,leaf,PASS,PASS,9c884de2a5d32325,9c884de2a5d32325,585,585,OUTCOME_AND_HASH_MATCH,+0.00
pfifo_array_elements.array_element32,leaf,PASS,PASS,e079f0cf1a994325,e079f0cf1a994325,1018,1043,OUTCOME_AND_HASH_MATCH,-2.46
pfifo_array_elements.array_element_pgr2,leaf,PASS,PASS,bbc8b0702ffd0325,bbc8b0702ffd0325,473,465,OUTCOME_AND_HASH_MATCH,+1.69
pfifo_packet_boundary.array_element16_overflow,leaf,PASS,PASS,4d1756526f052325,4d1756526f052325,15631,15473,OUTCOME_AND_HASH_MATCH,+1.01
pfifo_packet_boundary.array_element32_overflow,leaf,PASS,PASS,6eb7071be692a325,6eb7071be692a325,30968,31430,OUTCOME_AND_HASH_MATCH,-1.49
pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,PASS,640439ee8ecd2325,640439ee8ecd2325,144,132,OUTCOME_AND_HASH_MATCH,+8.33
pfifo_packet_boundary.inline_array_overflow,leaf,PASS,PASS,847da1930526a325,847da1930526a325,30992,31249,OUTCOME_AND_HASH_MATCH,-0.83
pipeline_texture_switch.clear_texture_normal,leaf,PASS,PASS,22ba4f1405cda325,22ba4f1405cda325,27581,28430,OUTCOME_AND_HASH_MATCH,-3.08
pipeline_texture_switch.palette_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,17293,19682,OUTCOME_AND_HASH_MATCH,-13.81
pipeline_texture_switch.palette_only_update,leaf,PASS,PASS,467aab2f95cda325,467aab2f95cda325,21282,21632,OUTCOME_AND_HASH_MATCH,-1.64
pipeline_texture_switch.sampler_only_identity,leaf,PASS,PASS,0b8438c8404da325,0b8438c8404da325,21428,22255,OUTCOME_AND_HASH_MATCH,-3.86
pipeline_texture_switch.shader_negative_control,leaf,PASS,PASS,f110c8bd6338c325,f110c8bd6338c325,18174,18548,OUTCOME_AND_HASH_MATCH,-2.06
pipeline_texture_switch.shared_page_overlap,leaf,PASS,PASS,83bb59a8648da325,83bb59a8648da325,18460,19058,OUTCOME_AND_HASH_MATCH,-3.24
pipeline_texture_switch.texture_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,13140,23076,OUTCOME_AND_HASH_MATCH,-75.62
pipeline_texture_switch.texture_switch,leaf,PASS,PASS,8ae05d31fb00c325,8ae05d31fb00c325,17697,18374,OUTCOME_AND_HASH_MATCH,-3.83
primitive_type.line_loop.fixed_function,leaf,PASS,PASS,f2158581ac6e3919,f2158581ac6e3919,664,668,OUTCOME_AND_HASH_MATCH,-0.60
primitive_type.line_loop.vertex_shader,leaf,PASS,PASS,f2158581ac6e3919,f2158581ac6e3919,665,686,OUTCOME_AND_HASH_MATCH,-3.16
primitive_type.line_strip.fixed_function,leaf,PASS,PASS,f2158581ac6e3919,f2158581ac6e3919,649,674,OUTCOME_AND_HASH_MATCH,-3.85
primitive_type.line_strip.vertex_shader,leaf,PASS,PASS,f2158581ac6e3919,f2158581ac6e3919,668,677,OUTCOME_AND_HASH_MATCH,-1.35
primitive_type.lines.fixed_function,leaf,PASS,PASS,1766a7f93aa72a14,1766a7f93aa72a14,1268,1256,OUTCOME_AND_HASH_MATCH,+0.95
