renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
opengl,pipeline_texture_switch.sampler_only_identity,leaf,PASS,PASS,0b8438c8404da325,0b8438c8404da325,OUTCOME_AND_HASH_MATCH,+bad,20491,20524,-0.16
opengl,pipeline_texture_switch.shader_negative_control,leaf,PASS,PASS,f110c8bd6338c325,f110c8bd6338c325,OUTCOME_AND_HASH_MATCH,+bad,17268,17067,+1.16
opengl,pipeline_texture_switch.shared_page_overlap,leaf,PASS,PASS,83bb59a8648da325,83bb59a8648da325,OUTCOME_AND_HASH_MATCH,+bad,18444,18361,+0.45
opengl,pipeline_texture_switch.texture_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,OUTCOME_AND_HASH_MATCH,+bad,18873,17565,+6.93
opengl,pipeline_texture_switch.texture_switch,leaf,PASS,PASS,8ae05d31fb00c325,8ae05d31fb00c325,OUTCOME_AND_HASH_MATCH,+bad,17352,17340,+0.07
opengl,primitive_type.line_loop.fixed_function,leaf,PASS,PASS,e029a36a3b91c6cc,e029a36a3b91c6cc,OUTCOME_AND_HASH_MATCH,+bad,729,731,-0.27
opengl,primitive_type.line_loop.vertex_shader,leaf,PASS,PASS,e029a36a3b91c6cc,e029a36a3b91c6cc,OUTCOME_AND_HASH_MATCH,+bad,728,723,+0.69
opengl,primitive_type.line_strip.fixed_function,leaf,PASS,PASS,05e55de77521d31a,05e55de77521d31a,OUTCOME_AND_HASH_MATCH,+bad,723,743,-2.77
opengl,primitive_type.line_strip.vertex_shader,leaf,PASS,PASS,05e55de77521d31a,05e55de77521d31a,OUTCOME_AND_HASH_MATCH,+bad,758,720,+5.01
opengl,primitive_type.lines.fixed_function,leaf,PASS,PASS,e1c19d5c7e7898ab,e1c19d5c7e7898ab,OUTCOME_AND_HASH_MATCH,+bad,1412,1395,+1.20
opengl,primitive_type.lines.vertex_shader,leaf,PASS,PASS,e1c19d5c7e7898ab,e1c19d5c7e7898ab,OUTCOME_AND_HASH_MATCH,+bad,1380,1382,-0.14
opengl,primitive_type.points.fixed_function,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,OUTCOME_AND_HASH_MATCH,+bad,706,710,-0.57
opengl,primitive_type.points.vertex_shader,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,OUTCOME_AND_HASH_MATCH,+bad,714,731,-2.38
opengl,primitive_type.polygon.fixed_function,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,OUTCOME_AND_HASH_MATCH,+bad,718,720,-0.28
opengl,primitive_type.polygon.vertex_shader,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,OUTCOME_AND_HASH_MATCH,+bad,727,728,-0.14
opengl,primitive_type.quad_strip.fixed_function,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,OUTCOME_AND_HASH_MATCH,+bad,1410,1412,-0.14
opengl,primitive_type.quad_strip.vertex_shader,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,OUTCOME_AND_HASH_MATCH,+bad,1400,1420,-1.43
opengl,primitive_type.quads.fixed_function,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,OUTCOME_AND_HASH_MATCH,+bad,2132,2246,-5.35
opengl,primitive_type.quads.vertex_shader,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,OUTCOME_AND_HASH_MATCH,+bad,2189,2431,-11.06
opengl,primitive_type.triangle_fan.fixed_function,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,OUTCOME_AND_HASH_MATCH,+bad,712,721,-1.26
opengl,primitive_type.triangle_fan.vertex_shader,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,OUTCOME_AND_HASH_MATCH,+bad,726,704,+3.03
opengl,primitive_type.triangle_strip.fixed_function,leaf,PASS,PASS,d7b289579fdaa1ab,d7b289579fdaa1ab,OUTCOME_AND_HASH_MATCH,+bad,702,726,-3.42
opengl,primitive_type.triangle_strip.vertex_shader,leaf,PASS,PASS,d7b289579fdaa1ab,d7b289579fdaa1ab,OUTCOME_AND_HASH_MATCH,+bad,729,711,+2.47
opengl,primitive_type.triangles.fixed_function,leaf,PASS,PASS,72f05baf369ceb60,72f05baf369ceb60,OUTCOME_AND_HASH_MATCH,+bad,1874,1884,-0.53
opengl,primitive_type.triangles.vertex_shader,leaf,PASS,PASS,72f05baf369ceb60,72f05baf369ceb60,OUTCOME_AND_HASH_MATCH,+bad,1879,1928,-2.61
opengl,report_query.clear_boundary,leaf,PASS,PASS,b5eb7c4b9c8da325,b5eb7c4b9c8da325,OUTCOME_AND_HASH_MATCH,+bad,648,707,-9.10
opengl,report_query.dma_descriptor_rewrite,leaf,PASS,PASS,c0c0fdbececda325,c0c0fdbececda325,OUTCOME_AND_HASH_MATCH,+bad,6259,2215,+64.61
opengl,report_query.dma_range_guard,leaf,FAIL,FAIL,3f648ce11a4da325,3f648ce11a4da325,OUTCOME_AND_HASH_MATCH,,10058216,10097431,
opengl,report_query.dma_target_switch,leaf,PASS,PASS,4c4bd8cd440da325,4c4bd8cd440da325,OUTCOME_AND_HASH_MATCH,+bad,1280,1462,-14.22
opengl,report_query.fifo_producer_ordering,leaf,PASS,PASS,0d907c24a88da325,0d907c24a88da325,OUTCOME_AND_HASH_MATCH,+bad,1496,1302,+12.97
opengl,report_query.multiple_boundaries,leaf,PASS,PASS,0c966fc9ba4da325,0c966fc9ba4da325,OUTCOME_AND_HASH_MATCH,+bad,464,529,-14.01
opengl,report_query.single_boundary,leaf,PASS,PASS,60e674c9fecda325,60e674c9fecda325,OUTCOME_AND_HASH_MATCH,+bad,489,698,-42.74
opengl,report_query.zero_query,leaf,PASS,PASS,23875dfeb40da325,23875dfeb40da325,OUTCOME_AND_HASH_MATCH,+bad,48,32,+33.33
opengl,surface.basic,leaf,PASS,PASS,0f44c0df337b52bc,0f44c0df337b52bc,OUTCOME_AND_HASH_MATCH,+bad,14194,14339,-1.02
opengl,surface.cpu_read_after_gpu_write,leaf,PASS,PASS,76ea18af98322325,76ea18af98322325,OUTCOME_AND_HASH_MATCH,+bad,608,462,+24.01
opengl,surface.cpu_read_clean_surface,leaf,PASS,PASS,d3267b427820a325,d3267b427820a325,OUTCOME_AND_HASH_MATCH,+bad,61,61,+0.00
opengl,surface.framebuffer_working_set_002,leaf,PASS,PASS,9f3b0609a42777d5,9f3b0609a42777d5,OUTCOME_AND_HASH_MATCH,+bad,1665,1194,+28.29
opengl,surface.framebuffer_working_set_008,leaf,PASS,PASS,64cbf95dec8f59e5,64cbf95dec8f59e5,OUTCOME_AND_HASH_MATCH,+bad,1559,1539,+1.28
opengl,surface.framebuffer_working_set_032,leaf,PASS,PASS,a6116feb11a28c25,a6116feb11a28c25,OUTCOME_AND_HASH_MATCH,+bad,1546,1585,-2.52
opengl,surface.framebuffer_working_set_064,leaf,PASS,PASS,a6116feb11a28c25,a6116feb11a28c25,OUTCOME_AND_HASH_MATCH,+bad,1681,1690,-0.54
opengl,surface.full_clear_elision_guard,leaf,PASS,PASS,4f05ccd43f43d495,4f05ccd43f43d495,OUTCOME_AND_HASH_MATCH,+bad,1430,1409,+1.47
