renderer,test_id,kind,parent_outcome,candidate_outcome,parent_framebuffer_fnv1a64,candidate_framebuffer_fnv1a64,comparison,raw_direction,parent_median_us,candidate_median_us,improvement_pct
opengl,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,PASS,5bc1b07714da2325,5bc1b07714da2325,OUTCOME_AND_HASH_MATCH,+bad,15100,15014,+0.57
opengl,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,PASS,f8348ac6eeaaa325,f8348ac6eeaaa325,OUTCOME_AND_HASH_MATCH,+bad,82897,81074,+2.20
opengl,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,PASS,f43007e31b972325,f43007e31b972325,OUTCOME_AND_HASH_MATCH,+bad,3555,3475,+2.25
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,PASS,48c0585f003ea325,48c0585f003ea325,OUTCOME_AND_HASH_MATCH,+bad,139153,138031,+0.81
opengl,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,PASS,e0430415b6dbe325,e0430415b6dbe325,OUTCOME_AND_HASH_MATCH,+bad,141754,140358,+0.98
opengl,game_load.pgr2_ai_backup.full_system,leaf,PASS,PASS,cb91c33db5046325,cb91c33db5046325,OUTCOME_AND_HASH_MATCH,+bad,141401,141097,+0.21
opengl,high_vertex_count.arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,68,73,-7.35
opengl,high_vertex_count.inline_arrays,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,41124,40397,+1.77
opengl,high_vertex_count.inline_buffers,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,209880,207480,+1.14
opengl,high_vertex_count.inline_elements,leaf,PASS,PASS,a27c67890c2d9083,a27c67890c2d9083,OUTCOME_AND_HASH_MATCH,+bad,3947,3957,-0.25
opengl,pfifo_array_elements.array_element_pgr2,leaf,PASS,PASS,bbc8b0702ffd0325,bbc8b0702ffd0325,OUTCOME_AND_HASH_MATCH,+bad,1225,1223,+0.16
opengl,pfifo_array_elements.array_element16,leaf,PASS,PASS,9c884de2a5d32325,9c884de2a5d32325,OUTCOME_AND_HASH_MATCH,+bad,1345,1340,+0.37
opengl,pfifo_array_elements.array_element32,leaf,PASS,PASS,e079f0cf1a994325,e079f0cf1a994325,OUTCOME_AND_HASH_MATCH,+bad,1331,1337,-0.45
opengl,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,PASS,4d1756526f052325,4d1756526f052325,OUTCOME_AND_HASH_MATCH,+bad,15486,14713,+4.99
opengl,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,PASS,6eb7071be692a325,6eb7071be692a325,OUTCOME_AND_HASH_MATCH,+bad,30311,29364,+3.12
opengl,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,PASS,847da1930526a325,847da1930526a325,OUTCOME_AND_HASH_MATCH,+bad,30871,29105,+5.72
opengl,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,PASS,640439ee8ecd2325,640439ee8ecd2325,OUTCOME_AND_HASH_MATCH,+bad,432,355,+17.82
opengl,texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,FAIL,FAIL,0a68f0aa371576a5,0a68f0aa371576a5,OUTCOME_AND_HASH_MATCH,,16631,16668,
opengl,pipeline_texture_switch.clear_texture_normal,leaf,PASS,PASS,22ba4f1405cda325,22ba4f1405cda325,OUTCOME_AND_HASH_MATCH,+bad,9414,9132,+3.00
opengl,pipeline_texture_switch.palette_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,OUTCOME_AND_HASH_MATCH,+bad,18755,18922,-0.89
opengl,pipeline_texture_switch.palette_only_update,leaf,PASS,PASS,467aab2f95cda325,467aab2f95cda325,OUTCOME_AND_HASH_MATCH,+bad,17992,17476,+2.87
opengl,pipeline_texture_switch.sampler_only_identity,leaf,PASS,PASS,0b8438c8404da325,0b8438c8404da325,OUTCOME_AND_HASH_MATCH,+bad,20491,20547,-0.27
opengl,pipeline_texture_switch.shader_negative_control,leaf,PASS,PASS,f110c8bd6338c325,f110c8bd6338c325,OUTCOME_AND_HASH_MATCH,+bad,17268,16861,+2.36
opengl,pipeline_texture_switch.shared_page_overlap,leaf,PASS,PASS,83bb59a8648da325,83bb59a8648da325,OUTCOME_AND_HASH_MATCH,+bad,18444,18154,+1.57
opengl,pipeline_texture_switch.texture_dma_remap,leaf,PASS,PASS,fbf687de65082325,fbf687de65082325,OUTCOME_AND_HASH_MATCH,+bad,18873,19117,-1.29
opengl,pipeline_texture_switch.texture_switch,leaf,PASS,PASS,8ae05d31fb00c325,8ae05d31fb00c325,OUTCOME_AND_HASH_MATCH,+bad,17352,17373,-0.12
opengl,primitive_type.line_loop.fixed_function,leaf,PASS,PASS,e029a36a3b91c6cc,e029a36a3b91c6cc,OUTCOME_AND_HASH_MATCH,+bad,729,765,-4.94
opengl,primitive_type.line_loop.vertex_shader,leaf,PASS,PASS,e029a36a3b91c6cc,e029a36a3b91c6cc,OUTCOME_AND_HASH_MATCH,+bad,728,718,+1.37
opengl,primitive_type.line_strip.fixed_function,leaf,PASS,PASS,05e55de77521d31a,05e55de77521d31a,OUTCOME_AND_HASH_MATCH,+bad,723,763,-5.53
opengl,primitive_type.line_strip.vertex_shader,leaf,PASS,PASS,05e55de77521d31a,05e55de77521d31a,OUTCOME_AND_HASH_MATCH,+bad,758,732,+3.43
opengl,primitive_type.lines.fixed_function,leaf,PASS,PASS,e1c19d5c7e7898ab,e1c19d5c7e7898ab,OUTCOME_AND_HASH_MATCH,+bad,1412,1375,+2.62
opengl,primitive_type.lines.vertex_shader,leaf,PASS,PASS,e1c19d5c7e7898ab,e1c19d5c7e7898ab,OUTCOME_AND_HASH_MATCH,+bad,1380,1404,-1.74
opengl,primitive_type.points.fixed_function,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,OUTCOME_AND_HASH_MATCH,+bad,706,712,-0.85
opengl,primitive_type.points.vertex_shader,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,OUTCOME_AND_HASH_MATCH,+bad,714,714,+0.00
opengl,primitive_type.polygon.fixed_function,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,OUTCOME_AND_HASH_MATCH,+bad,718,717,+0.14
opengl,primitive_type.polygon.vertex_shader,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,OUTCOME_AND_HASH_MATCH,+bad,727,743,-2.20
opengl,primitive_type.quad_strip.fixed_function,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,OUTCOME_AND_HASH_MATCH,+bad,1410,1397,+0.92
opengl,primitive_type.quad_strip.vertex_shader,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,OUTCOME_AND_HASH_MATCH,+bad,1400,1411,-0.79
opengl,primitive_type.quads.fixed_function,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,OUTCOME_AND_HASH_MATCH,+bad,2132,2194,-2.91
opengl,primitive_type.quads.vertex_shader,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,OUTCOME_AND_HASH_MATCH,+bad,2189,2268,-3.61
opengl,primitive_type.triangle_fan.fixed_function,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,OUTCOME_AND_HASH_MATCH,+bad,712,723,-1.54
opengl,primitive_type.triangle_fan.vertex_shader,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,OUTCOME_AND_HASH_MATCH,+bad,726,716,+1.38
opengl,primitive_type.triangle_strip.fixed_function,leaf,PASS,PASS,d7b289579fdaa1ab,d7b289579fdaa1ab,OUTCOME_AND_HASH_MATCH,+bad,702,713,-1.57
