renderer,id,kind,outcome,iterations,average_us,median_us,p95_us,framebuffer_fnv1a64
opengl,vertex_buffer_allocation.tiny.inline_arrays,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.tiny.inline_buffers,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.tiny.inline_elements,leaf,PASS,10,,,,377e6c029807f325
opengl,vertex_buffer_allocation.rising_transient_growth,leaf,PASS,1,,,,377e6c029807f325
opengl,vertex_buffer_allocation.disjoint_same_page,leaf,PASS,10,,,,fdcd25a37910bb25
vulkan,busy_pfifo.pfifo_saturation,leaf,PASS,10,,,,1508607624bb8506
vulkan,busy_pfifo.pgraph_pattern_polling,leaf,PASS,1,,,,386d0f085e98c325
vulkan,cpu_floating_point.sse_scalar,leaf,PASS,10,,,,6962077c244da325
vulkan,cpu_floating_point.x87_scalar,leaf,PASS,10,,,,6962077c244da325
vulkan,cpu_translation_blocks.direct_loop,leaf,PASS,10,,,,bd1fc9bf0c318325
vulkan,cpu_translation_blocks.indirect_dispatch,leaf,PASS,10,,,,c0426cf669a02325
vulkan,cpu_translation_blocks.indirect_dispatch_stress,leaf,PASS,10,,,,fbd507cb0c622325
vulkan,fill_rate.solid,leaf,PASS,10,,,,08b0f60773aac775
vulkan,fill_rate.textured,leaf,PASS,10,,,,99b433323df1684d
vulkan,game_load.long_unlocked_scene.cpu,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.pfifo,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.alpha_overdraw,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.streaming_surface_reuse,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.combined,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene.full_system,leaf,PASS,8,,,,4efd9244c4ad2325
vulkan,game_load.long_unlocked_scene,group,PASS,0,,,,4efd9244c4ad2325
vulkan,game_load.cross_title_hotpath.queued_vertex_cpu_writes,leaf,PASS,8,,,,ea21c900993ea325
vulkan,game_load.cross_title_hotpath.pgr2_small_draws,leaf,PASS,8,,,,151015a16ca46325
vulkan,game_load.cross_title_hotpath.texture_update_reuse,leaf,PASS,8,,,,44fcd2c900a5a325
vulkan,game_load.cross_title_hotpath.surface_reuse,leaf,PASS,8,,,,37f87c4938cd6325
vulkan,game_load.cross_title_hotpath.pipeline_state_churn,leaf,PASS,8,,,,4f8b2eab497ca325
vulkan,game_load.cross_title_hotpath.blend_constant_reuse,leaf,PASS,8,,,,58e80f99c5a56325
vulkan,game_load.cross_title_hotpath.texture_binding_reuse,leaf,PASS,8,,,,6b9bae4b9c97a325
vulkan,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,leaf,PASS,8,,,,2b9db92162606325
vulkan,game_load.cross_title_hotpath.scaled_surface_pressure,leaf,PASS,8,,,,32a69ec6dce52325
vulkan,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,leaf,PASS,8,,,,1a65246e1a0ea325
vulkan,game_load.cross_title_hotpath.gpu_wait_control,leaf,PASS,8,,,,e30500792076e325
vulkan,game_load.cross_title_hotpath,group,PASS,0,,,,e30500792076e325
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,PASS,8,,,,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,PASS,8,,,,7d853e264e62c6a6
vulkan,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,PASS,8,,,,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,PASS,8,,,,428c04bbb0a62725
vulkan,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,PASS,8,,,,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,PASS,8,,,,4fa33609b395b83b
vulkan,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,PASS,8,,,,3403675459d4d3d5
